,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed
0,Abū Zabad,SD,1641778396,12.35,29.25,75.74,28,45,8.41
1,East London,ZA,1641778397,-33.0153,27.9116,71.13,89,100,6.46
2,Mandiana,GN,1641778397,10.6333,-8.6833,69.96,21,13,5.57
3,Castro,BR,1641778397,-24.7911,-50.0119,56.73,94,83,5.14
4,Atuona,PF,1641778398,-9.8,-139.0333,78.17,78,84,18.72
5,Valley City,US,1641778203,46.9233,-98.0032,-1.21,71,0,6.91
6,Busselton,AU,1641778398,-33.65,115.3333,70.09,41,100,9.62
7,Vallenar,CL,1641778398,-28.5708,-70.7581,68.18,58,97,3.78
8,Port Alfred,ZA,1641778398,-33.5906,26.891,70.75,91,100,20.22
9,Barrow,US,1641778399,71.2906,-156.7887,-16.58,69,0,3.44
10,Andenes,NO,1641778315,69.3143,16.1194,17.58,86,12,9.22
11,Shingū,JP,1641778399,33.7333,135.9833,50.99,48,0,3.06
12,Zhigansk,RU,1641778399,66.7697,123.3711,-28.89,95,100,20.49
13,Derzhavīnsk,KZ,1641778400,51.1,66.3167,-10.28,100,37,5.26
14,Cape Town,ZA,1641778140,-33.9258,18.4232,67.12,86,75,3.0
15,Qui Nhon,VN,1641778400,13.7667,109.2333,75.94,81,44,6.98
16,Provideniya,RU,1641778400,64.3833,-173.3,6.91,61,0,20.13
17,Lichinga,MZ,1641778401,-13.3128,35.2406,62.69,100,100,6.91
18,Punta Arenas,CL,1641778401,-53.15,-70.9167,50.11,62,75,19.57
19,Hofn,IS,1641778401,64.2539,-15.2082,40.78,91,100,24.99
20,Lake Havasu City,US,1641778401,34.4839,-114.3224,63.21,24,0,4.0
21,Vanimo,PG,1641778402,-2.6741,141.3028,80.55,82,97,5.79
22,Rikitea,PF,1641778196,-23.1203,-134.9692,77.99,80,100,19.55
23,Mahajanga,MG,1641778402,-15.7167,46.3167,75.22,94,40,4.61
24,Kaeo,NZ,1641778402,-35.1,173.7833,74.59,61,99,7.72
25,Port Hardy,CA,1641778222,50.6996,-127.4199,48.2,75,75,23.02
26,Ascension,US,1641778402,30.2169,-90.9001,72.01,92,100,0.0
27,Puerto Escondido,MX,1641778403,15.85,-97.0667,79.63,69,0,0.0
28,Parkes,AU,1641778403,-33.1333,148.1833,91.35,52,0,1.99
29,Vao,NC,1641778403,-22.6667,167.4833,77.36,77,0,21.94
30,Sampit,ID,1641778185,-2.5333,112.95,81.27,83,91,1.63
31,Tasiilaq,GL,1641778404,65.6145,-37.6368,32.16,67,100,48.79
32,Ushuaia,AR,1641778153,-54.8,-68.3,44.26,70,100,0.0
33,Kaitangata,NZ,1641778204,-46.2817,169.8464,66.92,87,50,7.94
34,Beloha,MG,1641778404,-25.1667,45.05,73.11,81,100,11.1
35,Kapaa,US,1641778205,22.0752,-159.319,80.47,61,0,4.0
36,Dikson,RU,1641778404,73.5069,80.5464,-12.59,100,97,5.44
37,Kruisfontein,ZA,1641778404,-34.0033,24.7314,69.89,79,100,15.17
38,Bredasdorp,ZA,1641778405,-34.5322,20.0403,70.92,73,100,10.36
39,Hualmay,PE,1641778405,-11.0964,-77.6139,70.92,81,33,10.36
40,Albany,US,1641778278,42.6001,-73.9662,37.38,91,100,1.01
41,La Romana,DO,1641778405,18.4273,-68.9728,76.73,88,20,0.0
42,Arraial do Cabo,BR,1641778405,-22.9661,-42.0278,68.95,93,100,5.06
43,Port Moresby,PG,1641778406,-9.4431,147.1797,89.02,62,40,10.36
44,Palu,ID,1641778406,-0.8917,119.8707,89.51,55,37,1.7
45,Baykit,RU,1641778406,61.67,96.37,14.04,97,100,1.07
46,Hithadhoo,MV,1641778407,-0.6,73.0833,81.64,71,3,5.64
47,Hermanus,ZA,1641778407,-34.4187,19.2345,66.9,87,79,1.77
48,Tabou,CI,1641778407,4.423,-7.3528,78.91,84,100,2.26
49,Nemuro,JP,1641778407,43.3236,145.575,23.43,57,0,12.24
50,Hobart,AU,1641778268,-42.8794,147.3294,75.11,80,75,13.8
51,Karratha,AU,1641778408,-20.7377,116.8463,90.7,44,0,13.38
52,São João da Barra,BR,1641778408,-21.6403,-41.0511,69.75,97,100,9.66
53,La Peca,PE,1641778408,-5.6111,-78.435,70.14,81,100,2.46
54,Yārāda,IN,1641778408,17.65,83.2667,68.32,100,20,0.0
55,Butaritari,KI,1641778409,3.0707,172.7902,81.64,77,62,17.74
56,Cidreira,BR,1641778409,-30.1811,-50.2056,72.16,73,37,16.87
57,Dhali,IN,1641778409,10.5,77.1667,71.65,84,47,1.34
58,Esperance,AU,1641778409,-33.8667,121.9,66.04,60,73,15.64
59,Avarua,CK,1641778118,-21.2078,-159.775,84.25,74,75,16.11
60,George Town,MY,1641778410,5.4112,100.3354,82.33,72,20,5.01
61,Hilo,US,1641778273,19.7297,-155.09,78.53,78,75,9.22
62,Naze,JP,1641778410,28.3667,129.4833,59.92,72,99,8.84
63,Chui,UY,1641778410,-33.6971,-53.4616,68.88,81,0,11.21
64,Isangel,VU,1641778410,-19.55,169.2667,86.11,79,75,16.11
65,Mar del Plata,AR,1641778206,-38.0023,-57.5575,74.08,43,0,3.0
66,Ponta do Sol,PT,1641778411,32.6667,-17.1,65.12,27,100,8.12
67,Bluff,NZ,1641778411,-46.6,168.3333,69.8,85,89,10.56
68,Vaini,TO,1641778411,-21.2,-175.2,78.96,94,100,9.22
69,Orlik,RU,1641778411,52.5178,99.825,-10.21,83,87,2.21
70,Maturin,VE,1641778412,9.75,-63.1767,69.06,92,77,5.35
71,Boutersem,BE,1641778412,50.8346,4.8311,35.17,95,4,4.61
72,Calhoun,US,1641778138,42.2506,-85.0005,19.54,55,75,10.36
73,Lavrentiya,RU,1641778412,65.5833,-171.0,-10.91,82,2,10.92
74,São Filipe,CV,1641778413,14.8961,-24.4956,73.13,67,100,4.79
75,Cherskiy,RU,1641778197,68.75,161.3,-14.55,98,100,3.4
76,Katsuura,JP,1641778413,35.1333,140.3,52.2,81,100,20.71
77,Ribeira Grande,PT,1641778413,38.5167,-28.7,61.3,77,100,22.3
78,New Norfolk,AU,1641778413,-42.7826,147.0587,75.76,66,95,3.0
79,Yellowknife,CA,1641778200,62.456,-114.3525,-26.45,88,40,4.61
80,Broome,US,1641778414,42.2506,-75.833,36.63,75,100,5.99
81,Carnarvon,AU,1641778414,-24.8667,113.6333,82.47,30,0,14.97
